id,key,name,created_at,updated_at
1,901,PLANEACIÓN,"2023-01-20 10:19:32","2023-01-20 10:19:32"
2,101,GUBERNATURA,"2025-01-14 13:13:48","2025-01-14 13:13:48"
3,102,"SECRETARÍA DE GOBIERNO","2025-01-14 13:13:52","2025-01-14 13:13:52"
4,104,"SECRETARÍA DE SEGURIDAD Y PROTECCIÓN CIUDADANA","2025-01-14 13:13:55","2025-01-14 13:13:55"
5,106,"SECRETARÍA DE INFRAESTRUCTURAS Y COMUNICACIONES","2025-01-14 13:14:03","2025-01-14 13:14:03"
6,108,"SECRETARÍA DEL TRABAJO","2025-01-14 13:14:05","2025-01-14 13:14:05"
7,109,"SECRETARÍA DE MOVILIDAD","2025-01-14 13:14:06","2025-01-14 13:14:06"
8,110,"SECRETARÍA DE LAS CULTURAS Y ARTES","2025-01-14 13:14:07","2025-01-14 13:14:07"
9,111,"SECRETARÍA DE BIENESTAR, TEQUIO E INCLUSIÓN","2025-01-14 13:14:09","2025-01-14 13:14:09"
10,112,"SECRETARÍA DE INTERCULTURALIDAD, PUEBLOS Y COMUNIDADES INDÍGENAS Y AFROMEXICANAS","2025-01-14 13:14:16","2025-01-14 13:14:16"
11,113,"SECRETARÍA DE FOMENTO AGROALIMENTARIO Y DESARROLLO RURAL","2025-01-14 13:14:17","2025-01-14 13:14:17"
12,114,"SECRETARÍA DE FINANZAS","2025-01-14 13:14:18","2025-01-14 13:14:18"
13,117,"SECRETARÍA DE ADMINISTRACIÓN","2025-01-14 13:14:25","2025-01-14 13:14:25"
14,119,"SECRETARÍA DE HONESTIDAD, TRANSPARENCIA Y FUNCIÓN PÚBLICA","2025-01-14 13:14:32","2025-01-14 13:14:32"
15,121,"CONSEJERÍA JURÍDICA Y ASISTENCIA LEGAL DEL ESTADO","2025-01-14 13:14:32","2025-01-14 13:14:32"
16,124,"COORDINACIÓN DE COMUNICACIÓN SOCIAL","2025-01-14 13:14:35","2025-01-14 13:14:35"
17,125,"COORDINACIÓN PARA LA ATENCIÓN DE LOS DERECHOS HUMANOS","2025-01-14 13:14:36","2025-01-14 13:14:36"
18,126,"INSTITUTO DE PLANEACIÓN PARA EL BIENESTAR","2025-01-14 13:14:36","2025-01-14 13:14:36"
19,127,"SECRETARIADO EJECUTIVO DEL SISTEMA ESTATAL DE SEGURIDAD PÚBLICA","2025-01-14 13:14:38","2025-01-14 13:14:38"
20,128,"SECRETARÍA DE DESARROLLO ECONÓMICO","2025-01-14 13:14:38","2025-01-14 13:14:38"
21,129,"SECRETARÍA DE TURISMO","2025-01-14 13:14:40","2025-01-14 13:14:40"
22,130,"SECRETARÍA DE LAS MUJERES","2025-01-14 13:14:41","2025-01-14 13:14:41"
23,131,"SECRETARÍA DE MEDIO AMBIENTE, BIODIVERSIDAD, ENERGÍAS Y SOSTENIBILIDAD","2025-01-14 13:14:42","2025-01-14 13:14:42"
24,133,"SECRETARÍA DE EDUCACIÓN PÚBLICA","2025-01-14 13:14:43","2025-01-14 13:14:43"
25,501,"CAMINOS BIENESTAR","2025-01-14 13:14:44","2025-01-14 13:14:44"
