id,codigo,ur,nombre,ur_texto,created_at,updated_at
1,901,,PLANEACIÓN,,"2026-03-31 21:32:58","2026-03-31 21:32:58"
2,101,101,GUBERNATURA,"101 GUBERNATURA","2026-03-31 21:32:58","2026-03-31 21:32:58"
3,102,102,"SECRETARÍA DE GOBIERNO","102 SECRETAR?A DE GOBIERNO","2026-03-31 21:32:58","2026-03-31 21:32:58"
4,104,104,"SECRETARÍA DE SEGURIDAD Y PROTECCIÓN CIUDADANA","104 SECRETAR?A DE SEGURIDAD Y PROTECCI?N CIUDADANA","2026-03-31 21:32:58","2026-03-31 21:32:58"
5,106,106,"SECRETARÍA DE INFRAESTRUCTURAS Y COMUNICACIONES","106 SECRETAR?A DE INFRAESTRUCTURAS Y COMUNICACIONES","2026-03-31 21:32:58","2026-03-31 21:32:58"
6,108,108,"SECRETARÍA DEL TRABAJO","108 SECRETARIA DEL TRABAJO","2026-03-31 21:32:58","2026-03-31 21:32:58"
7,109,109,"SECRETARÍA DE MOVILIDAD","109 SECRETAR?A DE MOVILIDAD","2026-03-31 21:32:58","2026-03-31 21:32:58"
8,110,110,"SECRETARÍA DE LAS CULTURAS Y ARTES","110 SECRETAR?A DE LAS CULTURAS Y ARTES","2026-03-31 21:32:58","2026-03-31 21:32:58"
9,111,111,"SECRETARÍA DE BIENESTAR, TEQUIO E INCLUSIÓN","111 SECRETAR?A DE BIENESTAR, TEQUIO E INCLUSI?N","2026-03-31 21:32:58","2026-03-31 21:32:58"
10,112,112,"SECRETARÍA DE INTERCULTURALIDAD, PUEBLOS Y COMUNIDADES INDÍGENAS Y AFROMEXICANAS","112 SECRETAR?A DE INTERCULTURALIDAD, PUEBLOS Y COMUNIDADES INDIGENAS Y AFROMEXICANAS","2026-03-31 21:32:58","2026-03-31 21:32:58"
11,113,113,"SECRETARÍA DE FOMENTO AGROALIMENTARIO Y DESARROLLO RURAL","113 SECRETAR?A DE FOMENTO AGROALIMENTARIO Y DESARROLLO RURAL","2026-03-31 21:32:58","2026-03-31 21:32:58"
12,114,114,"SECRETARÍA DE FINANZAS","114 SECRETAR?A DE FINANZAS","2026-03-31 21:32:58","2026-03-31 21:32:58"
13,117,117,"SECRETARÍA DE ADMINISTRACIÓN","117 SECRETAR?A DE ADMINISTRACI?N","2026-03-31 21:32:58","2026-03-31 21:32:58"
14,119,119,"SECRETARÍA DE HONESTIDAD, TRANSPARENCIA Y FUNCIÓN PÚBLICA","119 SECRETAR?A DE HONESTIDAD, TRANSPARENCIA Y FUNCI?N P?BLICA","2026-03-31 21:32:58","2026-03-31 21:32:58"
15,121,121,"CONSEJERÍA JURÍDICA Y ASISTENCIA LEGAL DEL ESTADO","121 CONSEJER?A JUR?DICA Y ASISTENCIA LEGAL DEL ESTADO","2026-03-31 21:32:58","2026-03-31 21:32:58"
16,124,124,"COORDINACIÓN DE COMUNICACIÓN SOCIAL","124 COORDINACI?N DE COMUNICACI?N SOCIAL","2026-03-31 21:32:58","2026-03-31 21:32:58"
17,125,125,"COORDINACIÓN PARA LA ATENCIÓN DE LOS DERECHOS HUMANOS","125 COORDINACI?N PARA LA ATENCI?N DE LOS DERECHOS HUMANOS","2026-03-31 21:32:58","2026-03-31 21:32:58"
18,126,126,"INSTITUTO DE PLANEACIÓN PARA EL BIENESTAR","126 INSTITUTO DE PLANEACI?N PARA EL BIENESTAR","2026-03-31 21:32:58","2026-03-31 21:32:58"
19,127,,"SECRETARIADO EJECUTIVO DEL SISTEMA ESTATAL DE SEGURIDAD PÚBLICA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
20,128,128,"SECRETARÍA DE DESARROLLO ECONÓMICO","128 SECRETAR?A DE DESARROLLO ECON?MICO","2026-03-31 21:32:58","2026-03-31 21:32:58"
21,129,129,"SECRETARÍA DE TURISMO","129 SECRETAR?A DE TURISMO","2026-03-31 21:32:58","2026-03-31 21:32:58"
22,130,130,"SECRETARÍA DE LAS MUJERES","130 SECRETAR?A DE LAS MUJERES","2026-03-31 21:32:58","2026-03-31 21:32:58"
23,131,131,"SECRETARÍA DE MEDIO AMBIENTE, BIODIVERSIDAD, ENERGÍAS Y SOSTENIBILIDAD","131 SECRETAR?A DE MEDIO AMBIENTE, BIODIVERSIDAD, ENERG?AS Y SOSTENIBILIDAD","2026-03-31 21:32:58","2026-03-31 21:32:58"
24,133,133,"SECRETARÍA DE EDUCACIÓN PÚBLICA","133 SECRETAR?A DE EDUCACI?N P?BLICA","2026-03-31 21:32:58","2026-03-31 21:32:58"
25,501,,"CAMINOS BIENESTAR",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
26,502,502,"CASA DE LA CULTURA OAXAQUEÑA","502 CASA DE LA CULTURA OAXAQUE?A","2026-03-31 21:32:58","2026-03-31 21:32:58"
27,511,511,"VIVIENDA BIENESTAR","511 VIVIENDA BIENESTAR","2026-03-31 21:32:58","2026-03-31 21:32:58"
28,512,512,"COMISIÓN ESTATAL DEL AGUA PARA EL BIENESTAR","512 COMISI?N ESTATAL DEL AGUA PARA EL BIENESTAR","2026-03-31 21:32:58","2026-03-31 21:32:58"
29,513,,"COMISIÓN ESTATAL FORESTAL",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
30,516,,"COMISIÓN PARA LA REGULARIZACIÓN DE LA TENENCIA DE LA TIERRA URBANA DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
31,517,,"CONSEJO ESTATAL PARA LA PREVENCIÓN Y CONTROL DEL SIDA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
32,519,,"CONSEJO OAXAQUEÑO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
33,520,520,"COORDINACIÓN ESTATAL DE PROTECCIÓN CIVIL Y GESTIÓN DE RIESGOS","520 COORDINACI?N ESTATAL DE PROTECCI?N CIVIL Y GESTI?N DE RIESGOS","2026-03-31 21:32:58","2026-03-31 21:32:58"
34,521,,"CORPORACIÓN OAXAQUEÑA DE RADIO Y TELEVISIÓN",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
35,523,,"HOSPITAL DE LA NIÑEZ OAXAQUEÑA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
36,526,526,"INSTITUTO DE LA JUVENTUD DEL ESTADO DE OAXACA","526 INSTITUTO DE LA JUVENTUD DEL ESTADO DE OAXACA","2026-03-31 21:32:58","2026-03-31 21:32:58"
37,528,,"INSTITUTO DEL PATRIMONIO CULTURAL DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
38,532,,"INSTITUTO OAXAQUEÑO CONSTRUCTOR DE INFRAESTRUCTURA EDUCATIVA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
39,539,539,"SISTEMA OPERADOR DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO","539 SISTEMA OPERADOR DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO","2026-03-31 21:32:58","2026-03-31 21:32:58"
40,541,541,"SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE OAXACA","541 SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE OAXACA","2026-03-31 21:32:58","2026-03-31 21:32:58"
41,554,554,"DEFENSORÍA PÚBLICA DEL ESTADO DE OAXACA","554 DEFENSOR?A P?BLICA DEL ESTADO DE OAXACA","2026-03-31 21:32:58","2026-03-31 21:32:58"
42,558,,"INSTITUTO DE LA FUNCIÓN REGISTRAL DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
