id,no_partida,descripcion,created_at,updated_at
1,117,"FAJA DE PROTECCIÓN LUMBAR, FABRICADA EN FIBRAS SINTÉTICAS, TIRANTES AJUSTABLES, VARILLAS EN ESPALDA Y CINTURÓN AJUSTABLE CON CIERRE MEDIANTE VELCRO. SEGÚN MUESTRA AC04.","2026-03-31 11:48:04","2026-03-31 11:48:04"
2,137,"JUEGO DE IMPERMEABLE UNISEX TIPO DEPORTIVO, CONFECCIONADO EN TELA 100 % POLIÉSTER; CHAMARRA COLOR VERDE OLIVO, CON REFLEJANTE AL FRENTE A LA ALTURA DE LOS HOMBROS, Y EN ESPALDA, CON DOS BOLSAS LATERALES, CIERRE DE CARRO METÁLICO AL FRENTE PARA AJUSTE, RESORTE EN PUÑOS, CUELLO ALTO CON GORRO; PANTS COLOR NEGRO LISO, AJUSTE ELÁSTICO EN CINTURA, DOS BOLSAS LATERALES, REFLEJANTE AL FRENTE. SEGÚN MUESTRA AC102.","2026-03-31 11:48:04","2026-03-31 11:48:04"
3,138,"CHAMARRA IMPERMEABLE UNISEX TIPO DEPORTIVO, CONFECCIONADO EN TELA 100 % POLIÉSTER; CHAMARRA COLOR VERDE OLIVO, CON REFLEJANTE AL FRENTE A LA ALTURA DE LOS HOMBROS, Y EN ESPALDA, CON DOS BOLSAS LATERALES, CIERRE DE CARRO METÁLICO AL FRENTE PARA AJUSTE, RESORTE EN PUÑOS. SEGÚN MUESTRA AC107.","2026-03-31 11:48:04","2026-03-31 11:48:04"
4,140,"GUANTE DE LÁTEX 100% NATURAL, COLOR NEGRO DE USO INDUSTRIAL Y LABORATORIOS, PARA MANEJO DE ÁCIDOS Y PRODUCTOS QUÍMICOS, PUÑO ENROLLADO, PUÑO EXTRA LARGO PARA PROTECCIÓN DE ANTEBRAZO. SEGÚN MUESTRA AC26.","2026-03-31 11:48:04","2026-03-31 11:48:04"
5,141,"GUANTE DE LÁTEX NATURAL COLOR NARANJA, PUÑO LARGO Y SUPERFICIE DE PALMA ANTIDERRAPANTE, PARA LIMPIEZA DOMÉSTICA, DETERGENTES, JABONES Y PRODUCTOS QUÍMICOS LIGEROS. SEGÚN MUESTRA AC27.","2026-03-31 11:48:04","2026-03-31 11:48:04"
6,144,"GUANTES DE CARNAZA UNITALLA PARA SOLDADURA Y HERRERÍA, PUÑO LARGO PARA PROTECCIÓN EN ANTEBRAZO, CON FORRO INTERNO TEXTIL, PROTECCIÓN ADICIONAL CONTRA CHISPAS Y SALPICADURAS AL SOLDAR. SEGÚN MUESTRA AC37.","2026-03-31 11:48:04","2026-03-31 11:48:04"
7,146,"GUANTE DE CARNAZA COLOR AMARILLO UNITALLA, PUÑOS DE SEGURIDAD, IDEAL PARA MANEJO DE MATERIALES DE CONSTRUCCIÓN. SEGÚN MUESTRA AC39.","2026-03-31 11:48:04","2026-03-31 11:48:04"
8,153,"CUBRE BOCA EN BLANCO Y AZUL DE ALGODÓN, CON TRES PLIEGUES AL CENTRO PARA MEJOR AJUSTE, DE TELA NO TEJIDA DESECHABLE SELLADO AL CALOR PARA MAYOR PROTECCIÓN, BANDA ELÁSTICA. SEGÚN MUESTRA AC41.","2026-03-31 11:48:04","2026-03-31 11:48:04"
9,143,"GUANTE DE LÁTEX PARA EXPLORACIÓN ESTÉRIL, DESECHABLE, AMBIDIESTRO, ATOXICO EN COLOR NATURAL, PUÑO ENROLLADO, AJUSTE CÓMODO. SEGÚN MUESTRA AC42.","2026-03-31 11:48:04","2026-03-31 11:48:04"
10,147,"GUANTE DIELÉCTRICO COLOR AMARILLO, PIEL VACUNA, CON AJUSTADOR EN MUÑECA, MANEJO DE HERRAMIENTAS ELÉCTRICAS. SEGÚN MUESTRA AC49.","2026-03-31 11:48:04","2026-03-31 11:48:04"
11,150,"GUANTE PARA MOTOCICLISTA COLOR NEGRO, CONFECCIONADO EN 60% POLIÉSTER 20% NYLON 20% POLIVINILO, DISEÑO DEPORTIVO, RESISTENTES A LA ABRASIÓN, PROTECCIÓN EN NUDILLOS, ANTIDERRAPANTE EN PALMA Y AJUSTE EN LA MUÑECA DE VELCRO. SEGÚN MUESTRA AC53.","2026-03-31 11:48:04","2026-03-31 11:48:04"
12,132,"CASCO PARA MOTOCICLISTA EN COLOR NEGRO MATE, RENDIJA DE VENTILACIÓN EN LA PARTE SUPERIOR, ABATIBLE, MICA TRANSPARENTE DE POLICARBONATO, LENTE OBSCURO INTEGRADO DE POLICARBONATO, ANTIRAYADURAS, INTERIOR ACOJINADO, BROCHE MILIMÉTRICO PARA AJUSTE, CUMPLE CON LA CERTIFICACIÓN DOT FMVSS NO 218.  SEGÚN MUESTRA AC65.","2026-03-31 11:48:04","2026-03-31 11:48:04"
13,100,"MOCHILA ERGONÓMICA COLOR GRIS COMPOSICIÓN 100% NAILON, FORRO 100% POLIÉSTER, CUATRO COMPARTIMIENTOS CON CIERRE, CON ESPACIO PARA LAPTOP, ASA SUPERIOR, RESPALDO Y TIRANTES ACOJINADOS, DOS BOLSAS LATERALES CON MALLA. LOGO EN PARTE DELANTERA. SEGÚN MUESTRA AC68.","2026-03-31 11:48:04","2026-03-31 11:48:04"
14,101,"MOCHILA ERGONÓMICA COLOR AZUL ACERO, COMPOSICIÓN 100% NAILON, FORRO 100% POLIÉSTER, CUATRO COMPARTIMIENTOS CON CIERRE, ASA SUPERIOR, RESPALDO Y TIRANTES ACOJINADOS, DOS BOLSAS LATERALES CON MALLA. LOGO EN PARTE DELANTERA. SEGÚN MUESTRA AC72.","2026-03-31 11:48:04","2026-03-31 11:48:04"
15,142,"GUANTE DE LÁTEX COLOR NEGRO PARA TRABAJOS DE PINTADO Y ACTIVIDADES DE AGRICULTURA, INTERIOR AFELPADO CON PUÑO LARGO. SEGÚN MUESTRA AC74.","2026-03-31 11:48:04","2026-03-31 11:48:04"
16,158,"JUEGO DE PROTECCIÓN UNISEX PARA MOTOCICLISTA 100% POLIÉSTER, COMPUESTO DE: CHAMARRA Y PANTALÓN. CHAMARRA:  CON VENTILACIÓN EN HOMBROS Y ESPALDA PARTE ALTA, CIERRE DE CARRO METÁLICO AL FRENTE PARA AJUSTE Y VELCRO EN CUELLO PARA AJUSTE, AJUSTE DE PUÑOS EN VELCRO Y CIERRE, PROTECCIÓN EN HOMBROS, ANTE BRAZOS Y ESPALDA, DOS BOLSILLOS AL FRENTE A LA ALTURA DEL ABDOMEN CON CIERRE, DOS BOLSAS INTERNAS, TIPO PARCHE Y CON CIERRE, AJUSTE DE CINTURA CON VELCRO Y CIERRE. PANTALÓN:  PROTECCIONES EN MUSLO Y RODILLAS, DOS BOLSAS AL FRENTE CON CIERRE, AJUSTE DE CIERRE, VELCRO Y BROCHE AL FRENTE, CINTURA CON RESORTE Y AJUSTE DE VELCRO, AJUSTE DE TOBILLO CON VELCRO, VENTILACIÓN EN AMBAS PIERNAS. SEGÚN MUESTRA AC76.","2026-03-31 11:48:04","2026-03-31 11:48:04"
17,98,"GORRA TIPO BEISBOLERA EN COLOR AZUL JASPEADO, CONFECCIONADA EN 100% ALGODÓN, SEIS GAJOS CON OJILLOS BORDADOS, VISERA RÍGIDA COLOR CAFÉ, AJUSTE METÁLICO EN PARTE TRASERA. SEGÚN MUESTRA AC88.","2026-03-31 11:48:04","2026-03-31 11:48:04"
18,69,"BOTA PARA CABALLERO COLOR NEGRO, CORTE VACUNO ACABADO PIEL TEXTURIZADO, FORRO TEXTIL ACOJINADO, SUELA SINTÉTICA COLOR GRIS, DOCE OJILLOS METÁLICOS, AJUSTE DE AGUJETA COLOR NEGRO, BULLÓN ACABADO NOBUK, PESPUNTES VISIBLES, GRABADO DE LOGO EN PARTE EXTERIOR, TALÓN CON DETALLE TEXTURIZADO. SEGÚN MUESTRA BC02.","2026-03-31 11:48:04","2026-03-31 11:48:04"
19,71,"BOTA PARA CABALLERO COLOR CAFÉ, CORTE VACUNO, ACABADO PIEL TEXTURIZADA, FORRO TEXTIL ACOJINADO, SUELA SINTÉTICA COLOR NEGRO, CON BULLÓN TEXTIL COLOR CAFÉ, 12 OJILLOS METÁLICOS COLOR NATURAL, AJUSTE DE AGUJETA COLOR CAFÉ, PESPUNTES VISIBLES, GRABADO DE LOGO EN LA PARTE EXTERIOR, RESPIRADORES EN LATERALES. SEGÚN MUESTRA BC13.","2026-03-31 11:48:04","2026-03-31 11:48:04"
20,72,"BOTA PARA CABALLERO COLOR CAFÉ, CORTE SINTÉTICO FORRO TEXTIL, SUELA SINTÉTICA COLOR OLIVO, SEIS CINTAS TEXTILES PARA AJUSTE, CUATRO GANCHOS METÁLICOS, AJUSTE DE AGUJETAS COLOR NEGRO Y BLANCO, BULLÓN SUPERIOR SINTÉTICO, ACABADO TEXTURIZADO CON CINTA PARA FACILITAR CALZADO, PESPUNTES VISIBLES, FORRO INTERIOR ACOJINADO, GRABADO DE LOGO EN LA PARTE EXTERIOR. SEGÚN MUESTRA BC18.","2026-03-31 11:48:04","2026-03-31 11:48:04"
21,74,"BOTA PARA CABALLERO COLOR MIEL, CORTE VACUNO, ACABADO PIEL TEXTURIZADA, FORRO TEXTIL ACOJINADO, SUELA SINTÉTICA COLOR NEGRO, BULLÓN ACABADO TEXTURIZADO, CINTA PARA FACILITAR EL CALZADO, CATORCE OJILLOS METÁLICOS, AJUSTE DE AGUJETA EN COLOR ARENA, GRABADO DE LOGO EN LA PARTE EXTERIOR, PESPUNTES VISIBLES. SEGÚN MUESTRA BC34.","2026-03-31 11:48:04","2026-03-31 11:48:04"
22,75,"BOTA PARA CABALLERO COLOR VERDE OLIVO, CORTE VACUNO ACABADO NOBUK, FORRO TEXTIL ACOJINADO, SUELA SINTÉTICA COLOR ARENA, SEIS HERRAJES, DOS GANCHOS METÁLICOS Y DOS CINTAS TEXTILES PARA AJUSTE, AJUSTE DE AGUJETAS COLOR ARENA, BULLÓN SUPERIOR SINTÉTICO ACABADO TEXTURIZADO CON CINTA PARA FACILITAR CALZADO, PESPUNTES VISIBLES, GRABADO DE LOGO EN LENGÜETA. SEGÚN MUESTRA BC35.","2026-03-31 11:48:04","2026-03-31 11:48:04"
23,78,"BOTA PARA DAMA COLOR NEGRO, CORTE VACUNO ACABADO PIEL NOBUK, FORRO TEXTIL ACOJINADO, SUELA SINTÉTICA COLOR NEGRO, BULLÓN TEXTIL, DIEZ OJILLOS METÁLICOS PERFORADOS, AGUJETA COLOR NEGRO, PESPUNTES VISIBLES, CINTA PARA FACILITAR EL CALZADO, GRABADO DE LOGO EN LA PARTE EXTERIOR. SEGÚN MUESTRA BD05.","2026-03-31 11:48:04","2026-03-31 11:48:04"
24,79,"BOTA PARA DAMA COLOR GRIS OXFORD, CORTE SINTÉTICO ACABADO NOBUK, FORRO TEXTIL ACOJINADO, SUELA SINTÉTICA COLOR NEGRO Y GRIS, BULLÓN TEXTIL, DIEZ OJILLOS METÁLICOS, CUATRO GANCHOS METÁLICOS, AGUJETA COLOR GRIS, GRABADO DE LOGO EN LA PARTE EXTERIOR. SEGÚN MUESTRA BD07.","2026-03-31 11:48:04","2026-03-31 11:48:04"
25,81,"BOTA PARA DAMA COLOR NEGRO CORTE VACUNO, ACABADO PIEL LISA, SIN FORRO, SIN BULLÓN SUELA SINTÉTICA CON TACÓN COLOR NEGRO, AJUSTE DE RESORTE EN LATERALES, PESPUNTES VISIBLES, CINTA PARA FACILITAR CALZADO, GRABADO DE LOGO EN LA PARTE EXTERIOR.  SEGÚN MUESTRA BD17.","2026-03-31 11:48:04","2026-03-31 11:48:04"
