id,partida_id,anio,clave,descripcion,clave_partida,created_at,updated_at
1,1,2026,AC04,"FAJA DE PROTECCIÓN LUMBAR, FABRICADA EN FIBRAS SINTÉTICAS, TIRANTES AJUSTABLES, VARILLAS EN ESPALDA Y CINTURÓN AJUSTABLE CON CIERRE MEDIANTE VELCRO. SEGÚN MUESTRA AC04",AC04,"2026-03-31 21:32:58","2026-03-31 21:32:58"
2,2,2026,AC102,"JUEGO DE IMPERMEABLE UNISEX TIPO DEPORTIVO, CONFECCIONADO EN TELA 100 % POLIESTER; CHAMARRA COLOR VERDE OLIVO, CON REFLEJANTE  AL FRENTE A LA ALTURA DE LOS HOMBROS, Y EN ESPALDA, CON DOS BOLSAS LATERALES, CIERRE DE CARRO METALICO AL FRENTE PARA AJUSTE, RESORTE EN PUÑOS,  CUELLO ALTO CON GORRO; PANTS COLOR NEGRO LISO, AJUSTE ELASTICO EN CINTURA, DOS BOLSAS LATERALES, REFLEJANTE AL FRENTE. SEGUN MUESTRA AC102",AC102,"2026-03-31 21:32:58","2026-03-31 21:32:58"
3,2,2026,AC103,"JUEGO DE IMPERMEABLE UNISEX TIPO DEPORTIVO, CONFECCIONADO EN TELA 100 % POLIESTER; CHAMARRA COLOR  PLATA, DETALLES EN AZUL REY EN , HOMBROS, GORRO Y LATERALES, FRANJA NARANJA FLORECENTE, CON DOS BOLSAS LATERALES, CIERRE DE CARRO METALICO  Y 5 BROCHES METALICOS AL FRENTE PARA AJUSTE, RESORTE EN PUÑOS; PANTS COLOR PLATA LISO, AJUSTE ELASTICO EN CINTURA, DOS BOLSAS LATERALES, REFLEJANTE AL FRENTE. SEGUN MUESTRA AC103",AC102,"2026-03-31 21:32:58","2026-03-31 21:32:58"
4,3,2026,AC108,"CHAMARRA IMPERMEABLE UNISEX TIPO DEPORTIVO, CONFECCIONADO EN TELA 100 % POLIESTER; CHAMARRA COLOR  PLATA, DETALLES EN AZUL REY EN , HOMBROS, GORRO Y LATERALES, FRANJA NARANJA FLORECENTE, CON DOS BOLSAS LATERALES, CIERRE DE CARRO METALICO  Y 5 BROCHES METALICOS AL FRENTE PARA AJUSTE, RESORTE EN PUÑOS",AC107,"2026-03-31 21:32:58","2026-03-31 21:32:58"
5,3,2026,AC107,"CHAMARRA IMPERMEABLE UNISEX TIPO DEPORTIVO, CONFECCIONADO EN TELA 100 % POLIESTER; CHAMARRA COLOR VERDE OLIVO, CON REFLEJANTE  AL FRENTE A LA ALTURA DE LOS HOMBROS, Y EN ESPALDA, CON DOS BOLSAS LATERALES, CIERRE DE CARRO METALICO AL FRENTE PARA AJUSTE, RESORTE EN PUÑOS",AC107,"2026-03-31 21:32:58","2026-03-31 21:32:58"
6,4,2026,AC26,"GUANTE DE L?TEX 100% NATURAL, COLOR NEGRO DE USO INDUSTRIAL Y LABORATORIOS,  PARA MANEJO DE ?CIDOS Y  PRODUCTOS QUÍMICOS, PUÑO ENROLLADO, PUÑO EXTRA LARGO PARA PROTECCIÓN DE ANTEBRAZO. SEGÚN MUESTRA AC26.",AC26,"2026-03-31 21:32:58","2026-03-31 21:32:58"
7,5,2026,AC27,"GUANTE DE L?TEX NATURAL COLOR NARANJA, PUÑO  LARGO Y SUPERFICIE DE PALMA ANTIDERRAPANTE, PARA LIMPIEZA DOM?STICA, DETERGENTES, JABONES  Y PRODUCTOS QUÍMICOS LIGEROS. SEGÚN MUESTRA AC27.",AC27,"2026-03-31 21:32:58","2026-03-31 21:32:58"
8,6,2026,AC37,"GUANTES DE CARNAZA UNITALLA PARA SOLDADURA Y HERRER?A, PUÑO LARGO PARA PROTECCIÓN EN ANTEBRAZO, CON FORRO INTERNO TEXTIL, PROTECCION ADICIONAL CONTRA CHISPAS Y SALPICADURAS AL SOLDAR. SEGÚN MUESTRA AC37.",AC37,"2026-03-31 21:32:58","2026-03-31 21:32:58"
9,7,2026,AC39,"GUANTE DE CARNAZA COLOR AMARILLO UNITALLA, PUÑOS DE SEGURIDAD, IDEAL PARA MANEJO DE MATERIALES DE CONSTRUCCION. SEGÚN MUESTRA AC39.",AC39,"2026-03-31 21:32:58","2026-03-31 21:32:58"
10,8,2026,AC41,"CUBREBOCA EN BLANCO Y AZUL DE ALGODÓN, CON TRES PLIEGUES AL CENTRO PARA MEJOR AJUSTE, DE TELA NO TEJIDA DESECHABLE SELLADO AL CALOR PARA MAYOR PROTECCIÓN, BANDA ELÁSTICA. SEGÚN MUESTRA AC41.",AC41,"2026-03-31 21:32:58","2026-03-31 21:32:58"
