id,partida_id,anio,no_partida_snapshot,clave_como_se_uso,clave_para_ejercicio,clave_presupuestal,created_at,updated_at
1,1,2025,117,AC04,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
2,2,2025,137,AC102,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
3,3,2025,138,AC107,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
4,4,2025,140,AC26,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
5,5,2025,141,AC27,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
6,6,2025,144,AC37,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
7,7,2025,146,AC39,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
8,8,2025,153,AC41,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
9,9,2025,143,AC42,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
10,10,2025,147,AC49,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
11,11,2025,150,AC53,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
12,12,2025,132,AC65,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
13,13,2025,100,AC68,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
14,14,2025,101,AC72,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
15,15,2025,142,AC74,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
16,16,2025,158,AC76,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
17,17,2025,98,AC88,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
18,18,2025,69,BC02,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
19,19,2025,71,BC13,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
20,20,2025,72,BC18,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
21,21,2025,74,BC34,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
22,22,2025,75,BC35,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
23,23,2025,78,BD05,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
24,24,2025,79,BD07,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
25,25,2025,81,BD17,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
26,26,2025,84,BD39,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
27,27,2025,108,BI01,,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
28,28,2025,109," BI02",,246,"2026-03-31 11:48:04","2026-03-31 11:48:04"
29,29,2025,52,BL01,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
30,30,2025,29,BV10,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
31,31,2025,30,BV30,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
32,32,2025,31,BV42,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
33,33,2025,32,BV57,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
34,34,2025,33,BV69,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
35,35,2025,49,CHALD20,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
36,36,2025,36,CHC03,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
37,37,2025,37,CHC08,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
38,38,2025,38,CHC16,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
39,39,2025,39,CHC21,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
40,40,2025,40,CHD04,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
41,41,2025,41,CHD06,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
42,42,2025,42,CHD11,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
43,43,2025,43,CHD15,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
44,44,2025,87,CP03,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
45,45,2025,21,CV10,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
46,46,2025,22,CV13,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
47,47,2025,23,CV21,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
48,48,2025,24,CV36,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
49,49,2025,85,FV02,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
50,50,2025,88,JPC01,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
51,51,2025,89,JPC05,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
52,52,2025,90,JPD03,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
53,53,2025,91,JPD05,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
54,54,2025,11,PGC03,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
55,55,2025,12,PGC15,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
56,56,2025,13,PGC19,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
57,57,2025,14,PGC23,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
58,58,2025,17,PGD04,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
59,59,2025,18,PDG08,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
60,60,2025,19," PGD13",,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
61,61,2025,96,PLD08,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
62,62,2025,1,PMC06,,244,"2026-03-31 11:48:04","2026-03-31 11:48:04"
