id,partida_id,tipo_partida_especifica_id,lote,descripcion,marca,unidad_medida,codigo,medida,origen,legacy_propuesta_id,created_at,updated_at
1,62,1,1,"PANTALÓN DE MEZCLILLA PARA CABALLERO, COLOR AZUL MARINO, COMPOSICIÓN 64 % ALGODÓN 36% POLIÉSTER, CUATRO BOLSILLOS: DOS AL FRENTE Y DOS ATRÁS, CINTURA MEDIA, CORTE RECTO, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN METÁLICO PARA AJUSTE, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, SEIS PRESILLAS. SEGÚN MUESTRA PMC06.","SILVER PLATE",Pieza,53101502,P,propuesta,1,"2026-03-31 11:48:04","2026-03-31 11:48:04"
2,63,1,1,"PANTALÓN DE MEZCLILLA PARA CABALLERO, COLOR ÍNDIGO OBSCURO, COMPOSICIÓN 99% ALGODÓN 1% ELASTANO, CUATRO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CORTE SEMI AJUSTADO, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN METÁLICO PARA AJUSTE, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, SEIS PRESILLAS. SEGÚN MUESTRA PMC09.","SILVER PLATE",Pieza,53101502,P,propuesta,2,"2026-03-31 11:48:04","2026-03-31 11:48:04"
3,64,1,1,"PANTALÓN DE MEZCLILLA PARA CABALLERO, COLOR NEGRO, COMPOSICIÓN 84% ALGODÓN, 14% POLIÉSTER 2% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CORTE AJUSTADO, TIRO BAJO, VALENCIANA AJUSTADA, PIERNA AJUSTADA, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN METÁLICO PARA AJUSTE, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PMC14.","SILVER PLATE",Pieza,53101502,P,propuesta,3,"2026-03-31 11:48:04","2026-03-31 11:48:04"
4,65,1,1,"PANTALÓN DE MEZCLILLA PARA CABALLERO COLOR AZUL JASPEADO, COMPOSICIÓN 99% ALGODÓN 1% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO PARA JUSTE, CORTE SLIM, PIERNA AJUSTADA, VALENCIANA SEMI AJUSTADA, CON REMACHES METÁLICOS EN LOS BOLSILLOS Y CINCO PRESILLAS. SEGÚN MUESTRA PMC20.",OGGI,Pieza,53101502,P,propuesta,4,"2026-03-31 11:48:04","2026-03-31 11:48:04"
5,66,1,1,"PANTALÓN DE MEZCLILLA PARA CABALLERO COLOR AZUL ÍNDIGO, COMPOSICIÓN 99% ALGODÓN 1% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CORTE SLIM, TIRO BAJO, PIERNA AJUSTADA, VALENCIANA SEMI AJUSTADA CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO PARA AJUSTE, CON REMACHES METÁLICOS EN BOLSILLOS Y CINCO PRESILLAS. SEGÚN MUESTRA PMC23.",OGGI,Pieza,53101502,P,propuesta,5,"2026-03-31 11:48:04","2026-03-31 11:48:04"
6,99,1,1,"PANTALÓN DE MEZCLILLA PARA CABALLERO COLOR AZUL TONO ALTO CONFECCIONADO EN TELA 99% ALGODÓN 1% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO PARA AJUSTE, CORTE RECTO, CINTURA ALTA, PIERNA RELAJADA, VALENCIANA PARA BOTA Y CINCO PRESILLAS. SEGÚN MUESTRA PMC30.",FUROR,Pieza,53101502,P,propuesta,6,"2026-03-31 11:48:04","2026-03-31 11:48:04"
7,67,1,1,"PANTALÓN DE MEZCLILLA PARA DAMA COLOR STONE, COMPOSICIÓN 98% ALGODÓN, 2% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, TIRO MEDIO, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO PARA AJUSTE, CORTE RECTO, PIERNA Y VALENCIANA RELAJADA, CON REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PMD03.",OGGI,Pieza,53101504,P,propuesta,7,"2026-03-31 11:48:04","2026-03-31 11:48:04"
8,68,1,1,"PANTALÓN DE MEZCLILLA PARA DAMA COLOR AZUL MARINO COMPOSICIÓN 87% ALGODÓN 11% POLIÉSTER 2% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CINTURA ALTA, CIERRE DE CARRO METÁLICO EN BRAGUETA Y DOS BOTONES METÁLICOS PARA AJUSTE, CORTE SKINNY, CON REMACHES METÁLICOS EN LOS BOLSILLOS DELANTEROS, PUSH UP, CINCO PRESILLAS. SEGÚN MUESTRA PMD09.",OGGI,Pieza,53101504,P,propuesta,8,"2026-03-31 11:48:04","2026-03-31 11:48:04"
9,69,1,1,"PANTALÓN DE MEZCLILLA PARA DAMA COLOR STONE OBSCURO, COMPOSICIÓN 83% ALGODÓN 16% POLIÉSTER 1% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CINTURA ALTA, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN METÁLICO PARA JUSTE, CORTE RECTO, PIERNA Y VALENCIANA RELAJADA, CON REMACHES COLOR BRONCE EN BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PMD23.",FUROR,Pieza,53101504,P,propuesta,9,"2026-03-31 11:48:04","2026-03-31 11:48:04"
10,100,1,1,"PANTALÓN DE MEZCLILLA PARA DAMA COLOR AZUL CLARO, CONFECCIONADO EN 62% ALGODÓN, 32% POLIÉSTER, 4% RAYÓN, 2% ELASTANO, CINCO BOLSILLOS TRES AL FRENTE Y DOS ATRÁS, CINTURA MEDIA, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO PARA AJUSTE, CORTE RECTO, PUSH UP, PIERNA Y VALENCIANA RECTO, CON REMACHES METÁLICOS EN LOS BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PMD25.",ESCANDIA,Pieza,53101504,P,propuesta,10,"2026-03-31 11:48:04","2026-03-31 11:48:04"
