id,lote,partida_especifica,partida,descripcion,cantidad,unidad,marca,precio_unitario,subtotal,proveedor,medida,codigo
1,1,244,1,"PANTALÓN DE MEZCLILLA PARA CABALLERO, COLOR AZUL MARINO, COMPOSICIÓN 64 % ALGODÓN 36% POLIÉSTER, CUATRO BOLSILLOS: DOS AL FRENTE Y DOS ATRÁS, CINTURA MEDIA, CORTE RECTO, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN METÁLICO PARA AJUSTE, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, SEIS PRESILLAS. SEGÚN MUESTRA PMC06.",1,Pieza,"SILVER PLATE",598.55,598.55,GIK,P,53101502
2,1,244,2,"PANTALÓN DE MEZCLILLA PARA CABALLERO, COLOR ÍNDIGO OBSCURO, COMPOSICIÓN 99% ALGODÓN 1% ELASTANO, CUATRO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CORTE SEMI AJUSTADO, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN METÁLICO PARA AJUSTE, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, SEIS PRESILLAS. SEGÚN MUESTRA PMC09.",1,Pieza,"SILVER PLATE",607.61,607.61,GIK,P,53101502
3,1,244,3,"PANTALÓN DE MEZCLILLA PARA CABALLERO, COLOR NEGRO, COMPOSICIÓN 84% ALGODÓN, 14% POLIÉSTER 2% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CORTE AJUSTADO, TIRO BAJO, VALENCIANA AJUSTADA, PIERNA AJUSTADA, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN METÁLICO PARA AJUSTE, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PMC14.",1,Pieza,"SILVER PLATE",613.76,613.76,GIK,P,53101502
4,1,244,4,"PANTALÓN DE MEZCLILLA PARA CABALLERO COLOR AZUL JASPEADO, COMPOSICIÓN 99% ALGODÓN 1% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO PARA JUSTE, CORTE SLIM, PIERNA AJUSTADA, VALENCIANA SEMI AJUSTADA, CON REMACHES METÁLICOS EN LOS BOLSILLOS Y CINCO PRESILLAS. SEGÚN MUESTRA PMC20.",1,Pieza,OGGI,598.55,598.55,GIK,P,53101502
5,1,244,5,"PANTALÓN DE MEZCLILLA PARA CABALLERO COLOR AZUL ÍNDIGO, COMPOSICIÓN 99% ALGODÓN 1% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CORTE SLIM, TIRO BAJO, PIERNA AJUSTADA, VALENCIANA SEMI AJUSTADA CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO PARA AJUSTE, CON REMACHES METÁLICOS EN BOLSILLOS Y CINCO PRESILLAS. SEGÚN MUESTRA PMC23.",1,Pieza,OGGI,598.55,598.55,GIK,P,53101502
6,1,244,6,"PANTALÓN DE MEZCLILLA PARA CABALLERO COLOR AZUL TONO ALTO CONFECCIONADO EN TELA 99% ALGODÓN 1% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO PARA AJUSTE, CORTE RECTO, CINTURA ALTA, PIERNA RELAJADA, VALENCIANA PARA BOTA Y CINCO PRESILLAS. SEGÚN MUESTRA PMC30.",1,Pieza,FUROR,566.70,566.70,GIK,P,53101502
7,1,244,7,"PANTALÓN DE MEZCLILLA PARA DAMA COLOR STONE, COMPOSICIÓN 98% ALGODÓN, 2% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, TIRO MEDIO, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO PARA AJUSTE, CORTE RECTO, PIERNA Y VALENCIANA RELAJADA, CON REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PMD03.",1,Pieza,OGGI,567.83,567.83,GIK,P,53101504
8,1,244,8,"PANTALÓN DE MEZCLILLA PARA DAMA COLOR AZUL MARINO COMPOSICIÓN 87% ALGODÓN 11% POLIÉSTER 2% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CINTURA ALTA, CIERRE DE CARRO METÁLICO EN BRAGUETA Y DOS BOTONES METÁLICOS PARA AJUSTE, CORTE SKINNY, CON REMACHES METÁLICOS EN LOS BOLSILLOS DELANTEROS, PUSH UP, CINCO PRESILLAS. SEGÚN MUESTRA PMD09.",1,Pieza,OGGI,563.98,563.98,GIK,P,53101504
9,1,244,9,"PANTALÓN DE MEZCLILLA PARA DAMA COLOR STONE OBSCURO, COMPOSICIÓN 83% ALGODÓN 16% POLIÉSTER 1% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CINTURA ALTA, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN METÁLICO PARA JUSTE, CORTE RECTO, PIERNA Y VALENCIANA RELAJADA, CON REMACHES COLOR BRONCE EN BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PMD23.",1,Pieza,FUROR,559.94,559.94,GIK,P,53101504
10,1,244,10,"PANTALÓN DE MEZCLILLA PARA DAMA COLOR AZUL CLARO, CONFECCIONADO EN 62% ALGODÓN, 32% POLIÉSTER, 4% RAYÓN, 2% ELASTANO, CINCO BOLSILLOS TRES AL FRENTE Y DOS ATRÁS, CINTURA MEDIA, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO PARA AJUSTE, CORTE RECTO, PUSH UP, PIERNA Y VALENCIANA RECTO, CON REMACHES METÁLICOS EN LOS BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PMD25.",1,Pieza,ESCANDIA,563.18,563.18,GIK,P,53101504
