ur,nombre,nombre_corto
101,GUBERNATURA,101 GUBERNATURA
102,SECRETARÍA DE GOBIERNO,102 SECRETAR?A DE GOBIERNO
104,SECRETARÍA DE SEGURIDAD Y PROTECCIÓN CIUDADANA,104 SECRETAR?A DE SEGURIDAD Y PROTECCI?N CIUDADANA
106,SECRETARÍA DE INFRAESTRUCTURAS Y COMUNICACIONES,106 SECRETAR?A DE INFRAESTRUCTURAS Y COMUNICACIONES
108,SECRETARÍA DEL TRABAJO,108 SECRETARIA DEL TRABAJO
109,SECRETARÍA DE MOVILIDAD,109 SECRETAR?A DE MOVILIDAD
110,SECRETARÍA DE LAS CULTURAS Y ARTES,110 SECRETAR?A DE LAS CULTURAS Y ARTES
111,"SECRETARÍA DE BIENESTAR, TEQUIO E INCLUSIÓN","111 SECRETAR?A DE BIENESTAR, TEQUIO E INCLUSI?N"
112,"SECRETARÍA DE INTERCULTURALIDAD, PUEBLOS Y COMUNIDADES INDÍGENAS Y AFROMEXICANAS","112 SECRETAR?A DE INTERCULTURALIDAD, PUEBLOS Y COMUNIDADES INDIGENAS Y AFROMEXICANAS"
113,SECRETARÍA DE FOMENTO AGROALIMENTARIO Y DESARROLLO RURAL,113 SECRETAR?A DE FOMENTO AGROALIMENTARIO Y DESARROLLO RURAL
114,SECRETARÍA DE FINANZAS,114 SECRETAR?A DE FINANZAS
117,SECRETARÍA DE ADMINISTRACIÓN,117 SECRETAR?A DE ADMINISTRACI?N
119,"SECRETARÍA DE HONESTIDAD, TRANSPARENCIA Y FUNCIÓN PÚBLICA","119 SECRETAR?A DE HONESTIDAD, TRANSPARENCIA Y FUNCI?N P?BLICA"
121,CONSEJERÍA JURÍDICA Y ASISTENCIA LEGAL DEL ESTADO,121 CONSEJER?A JUR?DICA Y ASISTENCIA LEGAL DEL ESTADO
124,COORDINACIÓN DE COMUNICACIÓN SOCIAL,124 COORDINACI?N DE COMUNICACI?N SOCIAL
125,COORDINACIÓN PARA LA ATENCIÓN DE LOS DERECHOS HUMANOS,125 COORDINACI?N PARA LA ATENCI?N DE LOS DERECHOS HUMANOS
126,INSTITUTO DE PLANEACIÓN PARA EL BIENESTAR,126 INSTITUTO DE PLANEACI?N PARA EL BIENESTAR
128,SECRETARÍA DE DESARROLLO ECONÓMICO,128 SECRETAR?A DE DESARROLLO ECON?MICO
129,SECRETARÍA DE TURISMO,129 SECRETAR?A DE TURISMO
130,SECRETARÍA DE LAS MUJERES,130 SECRETAR?A DE LAS MUJERES
131,"SECRETARÍA DE MEDIO AMBIENTE, BIODIVERSIDAD, ENERGÍAS Y SOSTENIBILIDAD","131 SECRETAR?A DE MEDIO AMBIENTE, BIODIVERSIDAD, ENERG?AS Y SOSTENIBILIDAD"
133,SECRETARÍA DE EDUCACIÓN PÚBLICA,133 SECRETAR?A DE EDUCACI?N P?BLICA
502,CASA DE LA CULTURA OAXAQUEÑA,502 CASA DE LA CULTURA OAXAQUE?A
511,VIVIENDA BIENESTAR,511 VIVIENDA BIENESTAR
512,COMISIÓN ESTATAL DEL AGUA PARA EL BIENESTAR,512 COMISI?N ESTATAL DEL AGUA PARA EL BIENESTAR
520,COORDINACIÓN ESTATAL DE PROTECCIÓN CIVIL Y GESTIÓN DE RIESGOS,520 COORDINACI?N ESTATAL DE PROTECCI?N CIVIL Y GESTI?N DE RIESGOS
526,INSTITUTO DE LA JUVENTUD DEL ESTADO DE OAXACA,526 INSTITUTO DE LA JUVENTUD DEL ESTADO DE OAXACA
539,SISTEMA OPERADOR DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO,539 SISTEMA OPERADOR DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO
541,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE OAXACA,541 SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE OAXACA
554,DEFENSORÍA PÚBLICA DEL ESTADO DE OAXACA,554 DEFENSOR?A P?BLICA DEL ESTADO DE OAXACA
565,INSTITUTO DEL DEPORTE,565 INSTITUTO DEL DEPORTE
582,COORDINACIÓN PARA LA COMERCIALIZACIÓN DE PRODUCTOS OAXAQUEÑOS,582 COORDINACI?N PARA LA COMERCIALIZACI?N DE PRODUCTOS OAXAQUE?OS
801,OFICINA DE PENSIONES DEL ESTADO DE OAXACA,801 OFICINA DE PENSIONES DEL ESTADO DE OAXACA
