delegado_id,delegacion_codigo
1,3A101
50,3A101
2,3A102
51,3A102
3,3A103
109,3A201
127,3A202
28,3A601
62,3A601
29,3A602
63,3A602
30,3A603
64,3A603
120,3B-101
4,3B101
6,3B101
7,3B102
8,3B103
9,3B104
108,3B104
10,3B105
121,3B106
110,3B108
5,3B109
11,3B109
111,3B409
112,3B410
113,3B412
124,3B413
119,3B414
114,3B415
115,3B416
125,3B417
122,3B418
14,3C101
15,3C102
16,3C103
17,3C104
18,3C105
19,3C107
20,3C109
73,3E101
74,3E102
75,3E103
76,3E104
77,3E105
78,3E106
79,3E107
26,3E108
147,3E108
148,3E108
80,3E110
81,3E111
82,3E113
149,3E114
103,3E115
150,3E115
83,3F101
84,3F102
85,3F103
86,3F104
95,3F105
96,3F107
97,3F108
98,3F109
99,3F110
100,3F111
104,3G101
123,3G102
128,3H101
129,3H102
130,3H103
131,3H104
132,3I101
133,3I102
134,3I103
68,3J101
69,3J104
58,3J107
89,3J108
70,3J110
71,3J111
72,3J112
41,3K101
42,3K102
53,3K103
46,3K108
59,3K110
60,3K111
56,3K112
54,3K113
55,3K116
43,3K118
61,3K119
90,3K201
57,3K203
93,3K204
91,3K206
92,3K207
44,3K208
45,3K209
94,3K211
137,3L101
101,3M101
102,3M102
156,3P101
65,3P102
66,3P103
135,3Q101
155,3R102
126,3R103
153,3S101
47,3T101
67,3T101
136,3U101
152,3U101
157,3W101
105,4A101
142,4A101
143,4A102
118,4A103
151,4F101
159,4G102
154,4H101
158,4I101
141,4K101
144,4K101
145,4K102
146,4K201
138,4P101
139,DR202
21,DR202A
31,DR202A
32,DR202B
48,DR202B
140,DR202B
12,DR301
22,DR301
33,DR301
23,DR301A
34,DR301A
88,DR301A
24,DR301B
27,DR301B
35,DR301B
87,DR301B
36,DR401
116,DR401
37,DR401A
117,DR401A
13,DR501
25,DR501
38,DR501
160,DR501
162,DR601
39,DR601A
161,DR601A
40,DR701
106,DR701
107,DR701B
163,IND-101
49,IND-112
52,IND-125
