id,anio,producto_licitado_id,numero_partida,partida_especifica,clave,descripcion,precio_unitario,importe,iva,total,precio_alterno,referencia_codigo,clasificacion_principal_id
1,2025,38,117,246,AC04,"FAJA DE PROTECCI?N LUMBAR, FABRICADA EN FIBRAS SINT?TICAS, TIRANTES AJUSTABLES, VARILLAS EN ESPALDA Y CINTUR?N AJUSTABLE CON CIERRE MEDIANTE VELCRO. SEG?N MUESTRA AC04",291.84,291.84,46.69,338.53,,PC1,56
2,2025,58,137,246,AC102,"JUEGO DE IMPERMEABLE UNISEX TIPO DEPORTIVO, CONFECCIONADO EN TELA 100 % POLIESTER; CHAMARRA COLOR VERDE OLIVO, CON REFLEJANTE  AL FRENTE A LA ALTURA DE LOS HOMBROS, Y EN ESPALDA, CON DOS BOLSAS LATERALES, CIERRE DE CARRO METALICO AL FRENTE PARA AJUSTE, RESORTE EN PU?OS,  CUELLO ALTO CON GORRO; PANTS COLOR NEGRO LISO, AJUSTE ELASTICO EN CINTURA, DOS BOLSAS LATERALES, REFLEJANTE AL FRENTE. SEGUN MUESTRA AC102",671.12,671.12,107.38,778.50,,PC2,37
3,2025,58,137,246,AC103,"JUEGO DE IMPERMEABLE UNISEX TIPO DEPORTIVO, CONFECCIONADO EN TELA 100 % POLIESTER; CHAMARRA COLOR  PLATA, DETALLES EN AZUL REY EN , HOMBROS, GORRO Y LATERALES, FRANJA NARANJA FLORECENTE, CON DOS BOLSAS LATERALES, CIERRE DE CARRO METALICO  Y 5 BROCHES METALICOS AL FRENTE PARA AJUSTE, RESORTE EN PU?OS; PANTS COLOR PLATA LISO, AJUSTE ELASTICO EN CINTURA, DOS BOLSAS LATERALES, REFLEJANTE AL FRENTE. SEGUN MUESTRA AC103",671.12,671.12,107.38,778.50,,PC3,37
4,2025,59,138,246,AC108,"CHAMARRA IMPERMEABLE UNISEX TIPO DEPORTIVO, CONFECCIONADO EN TELA 100 % POLIESTER; CHAMARRA COLOR  PLATA, DETALLES EN AZUL REY EN , HOMBROS, GORRO Y LATERALES, FRANJA NARANJA FLORECENTE, CON DOS BOLSAS LATERALES, CIERRE DE CARRO METALICO  Y 5 BROCHES METALICOS AL FRENTE PARA AJUSTE, RESORTE EN PU?OS",421.43,421.43,67.43,488.86,,PC4,37
5,2025,59,138,246,AC107,"CHAMARRA IMPERMEABLE UNISEX TIPO DEPORTIVO, CONFECCIONADO EN TELA 100 % POLIESTER; CHAMARRA COLOR VERDE OLIVO, CON REFLEJANTE  AL FRENTE A LA ALTURA DE LOS HOMBROS, Y EN ESPALDA, CON DOS BOLSAS LATERALES, CIERRE DE CARRO METALICO AL FRENTE PARA AJUSTE, RESORTE EN PU?OS",421.43,421.43,67.43,488.86,,PC5,37
6,2025,61,140,246,AC26,"GUANTE DE L?TEX 100% NATURAL, COLOR NEGRO DE USO INDUSTRIAL Y LABORATORIOS,  PARA MANEJO DE ?CIDOS Y  PRODUCTOS QU?MICOS, PU?O ENROLLADO, PU?O EXTRA LARGO PARA PROTECCI?N DE ANTEBRAZO. SEG?N MUESTRA AC26.",171.74,171.74,27.48,199.22,,PC6,44
7,2025,62,141,246,AC27,"GUANTE DE L?TEX NATURAL COLOR NARANJA, PU?O  LARGO Y SUPERFICIE DE PALMA ANTIDERRAPANTE, PARA LIMPIEZA DOM?STICA, DETERGENTES, JABONES  Y PRODUCTOS QU?MICOS LIGEROS. SEG?N MUESTRA AC27.",43.19,43.19,6.91,50.10,,PC7,44
8,2025,65,144,246,AC37,"GUANTES DE CARNAZA UNITALLA PARA SOLDADURA Y HERRER?A, PU?O LARGO PARA PROTECCI?N EN ANTEBRAZO, CON FORRO INTERNO TEXTIL, PROTECCION ADICIONAL CONTRA CHISPAS Y SALPICADURAS AL SOLDAR. SEG?N MUESTRA AC37.",218.09,218.09,34.89,252.98,,PC8,44
9,2025,67,146,246,AC39,"GUANTE DE CARNAZA COLOR AMARILLO UNITALLA, PU?OS DE SEGURIDAD, IDEAL PARA MANEJO DE MATERIALES DE CONSTRUCCION. SEG?N MUESTRA AC39.",132.75,132.75,21.24,153.99,,PC9,44
10,2025,74,153,246,AC41,"CUBREBOCA EN BLANCO Y AZUL DE ALGOD?N, CON TRES PLIEGUES AL CENTRO PARA MEJOR AJUSTE, DE TELA NO TEJIDA DESECHABLE SELLADO AL CALOR PARA MAYOR PROTECCI?N, BANDA EL?STICA. SEG?N MUESTRA AC41.",6.32,6.32,1.01,7.33,,PC10,56
11,2025,64,143,246,AC42,"GUANTE DE L?TEX PARA EXPLORACI?N  ESTERIL, DESECHABLE, AMBIDIESTRO, ATOXICO  EN COLOR NATURAL, PU?O ENRROLADO, AJUSTE C?MODO. SEG?N MUESTRA AC42.",7.37,7.37,1.18,8.55,,PC11,44
12,2025,68,147,246,AC49,"GUANTE DIEL?CTRICO COLOR AMARILLO, PIEL VACUNO, CON AJUSTADOR EN MU?ECA, MANEJO DE HERRAMIENTAS EL?CTRICAS. SEG?N MUESTRA AC49.",106.40,106.40,17.02,123.42,,PC12,44
13,2025,71,150,246,AC53,"GUANTE PARA MOTOCICLISTA COLOR NEGRO, CONFECCIONADO EN 60% POLIESTER 20% NYLON 20% POLIVINILO, DISE?O DEPORTIVO, RESISTENTES A LA ABRASI?N, PROTECCI?N EN NUDILLOS, ANTIDERRAPANTE EN PALMA Y AJUSTE EN LA MU?ECA DE VELCRO. SEG?N MUESTRA AC53.",703.79,703.79,112.61,816.40,,PC13,44
14,2025,53,132,246,AC65,"CASCO PARA MOTOCICLISTA EN COLOR NEGRO MATE, RENDIJA DE VENTILACION EN LA PARTE SUPERIOR, ABATIBLE,   MICA DE TRANSPARENTE DE POLICARBONATO,  LENTE OBSCURO INTEGRADO DE POLICARBONATO, ANTIRAYADURAS , INTERIOR ACOJINADO, BROCHE MILIMETRICO PARA AJUSTE,  CUMPLE CONLA CERTIFICACION DOT FMVSS2 No18  SEGUN MUESTRA AC65",2209.33,2209.33,353.49,2562.82,,PC14,56
15,2025,21,100,244,AC68,"MOCHILA ERGONOMICA COLOR GRIS COMPOSICI?N 100% POLIESTER, CUATRO COMPARTIMIENTOS CON CIERRE, CON ESPACIO PARA LAPTOP, ASA SUPERIOR, RESPALDO Y TIRANTES ACOJINADOS, DOS BOLSAS LATERALES CON MALLA. SEG?N MUESTRA AC68.",992.44,992.44,158.79,1151.23,,PC15,55
16,2025,21,100,244,AC67,"MOCHILA ERGONOMICA COLOR NEGRO COMPOSICI?N 100% POLIESTER, CUATRO COMPARTIMIENTOS CON CIERRE, CON ESPACIO PARA LAPTOP, ASA SUPERIOR, RESPALDO Y TIRANTES ACOJINADOS, DOS BOLSAS LATERALES CON MALLA. SEG?N MUESTRA AC67.",992.44,992.44,158.79,1151.23,,PC16,55
